primary_fur_color,age,lat
Gray,Adult,40.7764726688908
Gray,Adult,40.7703573131398
Gray,Juvenile,40.7956567934304
Gray,Adult,40.7746153066601
Gray,Adult,40.7977720808005
Gray,Adult,40.7911589002217
Gray,Adult,40.7838116138235
Gray,Adult,40.7980460204041
Gray,Adult,40.7822616641357
Gray,NA,40.7875392957722
Gray,Adult,40.7798470142991
Gray,Adult,40.790163434915
Gray,Adult,40.7836023897982
Gray,NA,40.7946617684536
Gray,Adult,40.7908677445466
Gray,Adult,40.7987031768001
Gray,Adult,40.7977012009146
Gray,Adult,40.7849006107353
Gray,Adult,40.7763524091989
Gray,Adult,40.7683044693163
Gray,Adult,40.769356212275
Gray,Adult,40.7976165434502
Gray,Adult,40.7775169562765
Gray,Adult,40.7848805065322
Gray,Juvenile,40.7759469280872
Gray,Adult,40.7992458980266
Gray,Adult,40.7759864291323
Gray,Adult,40.7698763846186
Gray,Juvenile,40.7844014735136
Gray,Adult,40.7743071443959
Gray,Adult,40.772084917017
Gray,Adult,40.7715946097064
Gray,Adult,40.783651724865
Gray,NA,40.7761402808083
Gray,Adult,40.7782913925727
Gray,Adult,40.7699419094168
Gray,Adult,40.7690578709841
Gray,Juvenile,40.7807274581426
Gray,Adult,40.7957285542564
Gray,Adult,40.7782401548362
Gray,Adult,40.7681496989029
Gray,Juvenile,40.776502470347
Gray,Adult,40.7659842666881
Gray,Adult,40.7994216061391
Gray,Adult,40.7938900965153
Gray,Adult,40.7667805367199
Gray,Adult,40.7690192055926
Gray,Adult,40.7894521543449
Gray,Juvenile,40.7668620784309
Gray,Adult,40.7851491701944
Gray,Adult,40.7694681558386
Gray,Adult,40.7752456763263
Gray,Adult,40.7952074193788
Gray,NA,40.7954687648248
Gray,Adult,40.7965323262487
Gray,Adult,40.7709497471738
Gray,Adult,40.7738958027568
Gray,Adult,40.771128205027
Gray,Adult,40.7763703306736
Gray,Juvenile,40.7934123941528
Gray,Adult,40.7922919074537
Gray,Adult,40.7988549523022
Gray,Adult,40.7896483795302
Gray,Adult,40.7823535653774
Gray,Adult,40.7662094993614
Gray,Adult,40.7935398008612
Gray,Adult,40.7656644063024
Gray,Adult,40.792158440043
Gray,Adult,40.7746492806333
Gray,Adult,40.7852649316039
Gray,Adult,40.780390919948
Gray,Adult,40.7820474909192
Gray,Adult,40.7912119940469
Gray,Adult,40.7714036487747
Gray,Adult,40.7899711263765
Gray,Adult,40.773784724458
Gray,Juvenile,40.7973128653773
Gray,Adult,40.7959176317705
Gray,Adult,40.7699550476176
Gray,Adult,40.7783669913408
Gray,Adult,40.7836775064883
Gray,Adult,40.7797243033057
Gray,Juvenile,40.7888569161537
Gray,Juvenile,40.7690526441109
Gray,Adult,40.7763348062134
Gray,Adult,40.7700276115314
Gray,Adult,40.7735903424522
Gray,Adult,40.7691801644292
Gray,Adult,40.776954371947
Gray,Adult,40.7955140102242
Gray,Adult,40.7724786961619
Gray,Adult,40.7886933371744
Gray,Adult,40.7812207913391
Gray,Adult,40.7987578541123
Gray,Adult,40.7983413276331
Gray,Juvenile,40.7921759097124
Gray,Adult,40.7697373141498
Gray,Adult,40.7941409434007
Gray,NA,40.7943473161329
Gray,Adult,40.7768811640021
Gray,Adult,40.7697036696301
Gray,NA,40.7942883045566
Gray,Adult,40.7706539186221
Gray,Adult,40.7710379662106
Gray,Adult,40.7906539766881
Gray,Adult,40.7692600238491
Gray,NA,40.7867482211349
Gray,NA,40.7735683044313
Gray,Juvenile,40.7779016280345
Gray,Adult,40.791449395909
Gray,Adult,40.7836929044459
Gray,Adult,40.7789922281625
Gray,Adult,40.7903365788694
Gray,Adult,40.7953080673706
Gray,Adult,40.7989823714955
Gray,Adult,40.7773956803431
Gray,Adult,40.769737659647
Gray,Adult,40.7973951649254
Gray,Adult,40.7858531619022
Gray,Juvenile,40.7672600003683
Gray,Adult,40.7971535141896
Gray,Adult,40.792971019627
Gray,Adult,40.7823552871044
Gray,Adult,40.7678702158382
Gray,Adult,40.7933712188923
Gray,Adult,40.7919360198175
Gray,Adult,40.789191946875
Gray,Adult,40.799203782149696
Gray,Adult,40.7917332001738
Gray,Adult,40.7771924214236
Gray,Adult,40.7837932023685
Gray,Adult,40.7824399298414
Gray,Adult,40.7679010247281
Gray,Adult,40.771098202397
Gray,Adult,40.7726873760687
Gray,Adult,40.7845301288163
Gray,Juvenile,40.7738879545412
Gray,NA,40.7838472644815
Gray,Adult,40.7697840986163
Gray,Adult,40.7912631913057
Gray,Adult,40.7724853142211
Gray,Adult,40.7779692777193
Gray,Juvenile,40.7911550328309
Gray,Adult,40.7768984561563
Gray,Adult,40.7802469052891
Gray,Adult,40.7792437838039
Gray,Adult,40.7663703404546
Gray,Adult,40.7952875954297
Gray,Adult,40.7898133734952
Gray,Adult,40.7674281958115
Gray,Adult,40.777714111862
Gray,Adult,40.797580989255
Gray,Adult,40.7726685284831
Gray,Adult,40.7739029133911
Gray,Juvenile,40.7805662180672
Gray,Adult,40.7898646267709
Gray,Adult,40.7779315720879
Gray,Adult,40.7913464147989
Gray,Adult,40.7705452529783
Gray,Adult,40.776758371867
Gray,Adult,40.7753262103123
Gray,Adult,40.7970895007931
Gray,Adult,40.7818431607916
Gray,NA,40.7892400394941
Gray,Adult,40.7876519923501
Gray,Adult,40.7862652300082
